name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
kube-aggregator,fate-grand-order,https://github.com/kubernetes/kube-aggregator/pull/1,https://api.github.com/repos/kubernetes/kube-aggregator/issues/1,"correct misspelling ""explicitly"" in handler_apis.go",,closed,True,2017-02-22 03:05:54,2017-07-21 22:48:11
kube-aggregator,heartlock,https://github.com/kubernetes/kube-aggregator/pull/2,https://api.github.com/repos/kubernetes/kube-aggregator/issues/2,"fix misspell ""explicitly"" in handler_apis.go",,closed,True,2017-02-27 05:23:17,2017-02-27 23:44:07
kube-aggregator,fate-grand-order,https://github.com/kubernetes/kube-aggregator/pull/3,https://api.github.com/repos/kubernetes/kube-aggregator/issues/3,"fix misspell ""with"" in start.go",,closed,True,2017-02-28 10:28:06,2017-07-21 22:48:24
kube-aggregator,caesarxuchao,https://github.com/kubernetes/kube-aggregator/pull/4,https://api.github.com/repos/kubernetes/kube-aggregator/issues/4,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",closed,True,2017-03-18 20:06:03,2017-03-20 20:09:13
kube-aggregator,caesarxuchao,https://github.com/kubernetes/kube-aggregator/pull/5,https://api.github.com/repos/kubernetes/kube-aggregator/issues/5,Round2: Generated by scripts,"Last round of PRs failed to update vendor/. This one fixed it.

kube-aggregator is not a library, so this PR also adds the k8s.io/* back to the vendor/

@deads2k @sttts 

PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",closed,True,2017-03-20 22:20:36,2017-03-21 21:10:42
kube-aggregator,caesarxuchao,https://github.com/kubernetes/kube-aggregator/pull/6,https://api.github.com/repos/kubernetes/kube-aggregator/issues/6,[Do Not Merge] release-1.6,"Generated by bot.

The release-3.0 of client-go, and release-1.6 branches of apimachinery, apiserver, kube-aggregator, and sample-apiserver are tracking relesae-1.6 of kubernetes. These branches might depend on each other, but not on commit in the master branch.

The PR batch:
https://github.com/kubernetes/sample-apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/6
https://github.com/kubernetes/apiserver/pull/6
https://github.com/kubernetes/client-go/pull/160
no change to the release 1.6 branch of apimachinery

cc @deads2k @sttts ",closed,True,2017-03-30 03:06:23,2017-03-31 17:58:39
kube-aggregator,luckyfengyong,https://github.com/kubernetes/kube-aggregator/issues/7,https://api.github.com/repos/kubernetes/kube-aggregator/issues/7,"Where is the doc to set up kube-aggregator, especially register heapster into kube-aggregator for autoscaler","Where is doc to set up kube-aggregator,  especially register heapster into kube-aggregator for autoscaler. 
I saw some artifacts in https://github.com/kubernetes/kube-aggregator/tree/master/artifacts, however without doc. Not sure whether those could be used direclty.
BTW, I set up the k8s 1.6 cluster by kubeadm.",closed,False,2017-04-15 06:44:03,2018-04-26 10:31:52
kube-aggregator,mtaufen,https://github.com/kubernetes/kube-aggregator/issues/8,https://api.github.com/repos/kubernetes/kube-aggregator/issues/8,handler_proxy_test.go failing on several PRs,"Common error:
```
handler_proxy_test.go:328: invalid hostname + insecure: expected called=true, got false
testing.go:610: race detected during execution of test
```

Examples:
https://k8s-gubernator.appspot.com/build/kubernetes-jenkins/pr-logs/pull/49051/pull-kubernetes-unit/42307/
https://k8s-gubernator.appspot.com/build/kubernetes-jenkins/pr-logs/pull/49346/pull-kubernetes-unit/42303/
https://k8s-gubernator.appspot.com/build/kubernetes-jenkins/pr-logs/pull/49238/pull-kubernetes-unit/42301/
https://k8s-gubernator.appspot.com/build/kubernetes-jenkins/pr-logs/pull/48784/pull-kubernetes-unit/42297/",closed,False,2017-07-21 22:27:07,2017-07-21 22:42:35
kube-aggregator,prateekpandey14,https://github.com/kubernetes/kube-aggregator/pull/9,https://api.github.com/repos/kubernetes/kube-aggregator/issues/9,Fix README link,"There is broken link which points to aggregated-api-servers.md file in kubernetes/community repository.
@deads2k ",closed,True,2017-09-23 08:15:48,2017-10-04 20:09:12
kube-aggregator,nikhita,https://github.com/kubernetes/kube-aggregator/pull/10,https://api.github.com/repos/kubernetes/kube-aggregator/issues/10,Remove README and LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

/cc @sttts ",closed,True,2017-10-23 11:41:45,2017-12-18 12:22:23
kube-aggregator,spiffxp,https://github.com/kubernetes/kube-aggregator/pull/11,https://api.github.com/repos/kubernetes/kube-aggregator/issues/11,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",closed,True,2017-12-20 18:32:56,2017-12-20 20:14:23
