name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/11,https://github.com/hyperledger/fabric-ca/pull/11,shiyuleixia,Add the authority for the identity to change his own password,The normal identity can't change his own password by himself but by a registrar,[],1,2018-12-28 03:52:17,2018-12-29 00:30:45,2018-12-29 00:30:45,False,,,unknown,,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/10,https://github.com/hyperledger/fabric-ca/pull/10,duyquang6,Release 1.1,I'd like to get this for my project code,[],4,2018-10-11 03:39:00,2018-10-11 03:55:49,2018-10-11 03:55:49,False,,,dirty,False,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/9,https://github.com/hyperledger/fabric-ca/pull/9,KishorSilver,Release 1.1,,[],4,2018-07-18 05:57:29,2018-07-18 05:57:38,2018-07-18 05:57:38,False,,,dirty,False,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/8,https://github.com/hyperledger/fabric-ca/pull/8,rmiroballi,Signing cert,,[],25,2018-03-26 14:46:27,2018-03-26 14:46:50,2018-03-26 17:19:14,False,,,unknown,,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/7,https://github.com/hyperledger/fabric-ca/pull/7,lihaoguo,Update dbutil.go,"Modify the field name length of the table affiliations to fix the following bug:
Error occurred initializing database: Failed to create user registry for MySQL: Failed to create MySQL tables: Error creating index on affiliations table: Error 1071: Specified key was too long; max key length is 767 bytes",[],1,2018-03-24 08:21:07,2018-03-24 20:11:53,2018-03-24 20:11:53,False,,,unknown,,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/6,https://github.com/hyperledger/fabric-ca/pull/6,gocuntian,"How to generate server and client certfile, keyfile？","How to generate server and client certfile, keyfile，
v1.0.0",[],345,2018-02-07 08:30:34,2018-03-09 15:05:42,2018-03-09 15:06:17,False,,,unstable,True,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/5,https://github.com/hyperledger/fabric-ca/pull/5,AhmadZafar,Master,,[],210,2017-11-22 04:52:37,2017-11-22 23:24:29,2017-11-22 23:24:29,False,,,dirty,False,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/4,https://github.com/hyperledger/fabric-ca/pull/4,lifemagazine,add for rest api to get last certificate for given userid,"In some cases, fabric members need to get the certificate of other members, not ca certificate.
So I appended the rest api to retrieve the certificate by user id.",[],1,2017-06-15 08:53:22,2017-06-15 08:54:08,2017-06-15 08:54:18,False,,,unknown,,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/3,https://github.com/hyperledger/fabric-ca/pull/3,weichongli,Update dbutil.go,"If the server timezone is not GMT, it will cause SQL syntax errors while creating table on mysql.",[],1,2017-05-27 08:13:34,2017-05-28 03:21:26,2017-05-28 03:21:26,False,,,unknown,,closed
fabric-ca,https://api.github.com/repos/hyperledger/fabric-ca/pulls/2,https://github.com/hyperledger/fabric-ca/pull/2,andreevym,Update README.md,,[],1,2017-01-30 12:26:26,2017-01-30 14:18:42,2017-01-30 14:18:42,False,,,dirty,False,closed
