name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/1,https://github.com/kubernetes/repo-infra/pull/1,pmorie,Add README initial content,So people know what this is.,[],1,2016-12-15 17:56:42,2016-12-15 19:01:12,2016-12-15 19:01:12,True,2016-12-15 19:01:12,sarahnovotny,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/2,https://github.com/kubernetes/repo-infra/pull/2,pmorie,Add boilerplate verification,"Add boilerplate verification and instructions on using this repository.

cc @sarahnovotny ",[],3,2016-12-19 16:12:16,2016-12-20 16:12:02,2016-12-20 16:12:02,True,2016-12-20 16:12:02,eparis,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/3,https://github.com/kubernetes/repo-infra/pull/3,duglin,Add .glide to skipped dirs and add info about vendoring repo,Signed-off-by: Doug Davis <dug@us.ibm.com>,[],1,2016-12-23 17:53:06,2017-01-03 16:11:00,2017-01-03 16:13:27,True,2017-01-03 16:11:00,eparis,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/4,https://github.com/kubernetes/repo-infra/pull/4,mikedanese,move build defs from release to repo-infra,"They originally went to release because there was no
good place to put them.","['spxtr', 'ixdy']",1,2017-01-04 19:42:58,2017-01-09 22:32:06,2017-01-09 22:32:08,True,2017-01-09 22:32:06,mikedanese,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/5,https://github.com/kubernetes/repo-infra/pull/5,mikedanese,Add go_genrule,Original PR here https://github.com/kubernetes/release/pull/238,"['spxtr', 'ixdy']",1,2017-01-11 18:04:59,2017-01-26 23:04:55,2017-01-26 23:04:55,True,2017-01-26 23:04:55,spxtr,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/6,https://github.com/kubernetes/repo-infra/pull/6,pmorie,Make 2017 a valid boilerplate year,Pretty much what it sounds like.,[],1,2017-01-16 20:38:38,2017-01-16 22:29:38,2017-01-16 22:29:38,True,2017-01-16 22:29:38,eparis,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/7,https://github.com/kubernetes/repo-infra/pull/7,DirectXMan12,[WIP] codegen and codecgen,"This PR adds support update-codegen and update-codecgen.

This is very much a WIP, but I figured I'd post it for educational purposes.
Currently, it requires that repo-infra be vendored in, not used as a submodule.",[],5,2017-02-17 04:24:28,2018-01-03 16:26:54,2018-01-03 16:26:58,False,,,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/8,https://github.com/kubernetes/repo-infra/pull/8,ingvagabund,extend the boilerplate list of years with automatically generated list,To make it work forever!!!,[],1,2017-02-20 15:08:26,2017-02-20 15:12:11,2017-02-20 15:12:49,True,2017-02-20 15:12:11,eparis,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/9,https://github.com/kubernetes/repo-infra/pull/9,ideahitme,Add go-tools verification scripts ,"Scripts are mostly taken from the main kubernetes repository with slight changes. I added `verify-go-src.sh` script which runs each of the scripts inside repo-infra/go-tools directory. Normally user would just call `repo-infra/verify/verify-go-src.sh -v` from Travis (maybe indirectly) which in turn would run checks for `gofmt, gometalinter, govet` on all `.go` files excluding `/vendor`. Only added these checks to keep it project agnostic (e.g. exclude stuff like swagger/godep/bazel). 

/cc @eparis @pmorie ",[],9,2017-02-22 01:22:33,2017-02-24 15:48:09,2017-02-24 15:54:40,True,2017-02-24 15:48:09,eparis,unknown,,closed
repo-infra,https://api.github.com/repos/kubernetes/repo-infra/pulls/10,https://github.com/kubernetes/repo-infra/pull/10,eparis,Add a .travis.yml,It just runs boilerplate on the repo-infra repo,[],1,2017-02-22 17:45:07,2017-02-24 16:12:35,2017-02-24 16:12:35,True,2017-02-24 16:12:35,eparis,unknown,,closed
