name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/1,https://api.github.com/repos/kubernetes/sig-release/issues/1,Finalize Release roles: Lead/secondary,"Release role recruitment has been underway for a few weeks, and the release lead and secondary need to be finalized.   ",closed,False,2017-07-20 19:30:54,2017-07-24 16:02:29
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/2,https://api.github.com/repos/kubernetes/sig-release/issues/2,Fill Patch Manager release role,The open patch manager role needs to be filled by a Google engineer due to constraints in the CI implementation.  ,closed,False,2017-07-20 19:33:44,2017-07-25 13:59:13
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/3,https://api.github.com/repos/kubernetes/sig-release/issues/3,Fill Docs Manager release role,We need to fill the documentation manager role.  ,closed,False,2017-07-20 19:34:51,2017-07-25 14:44:45
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/4,https://api.github.com/repos/kubernetes/sig-release/issues/4,Fill Bug Tracking release role,We need to fill the bug tracking release role.,closed,False,2017-07-20 19:36:07,2017-07-21 23:23:11
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/5,https://api.github.com/repos/kubernetes/sig-release/issues/5,Fill Test Signal Lead release role,We need to fill the testing lead role. ,closed,False,2017-07-20 19:37:08,2017-07-21 23:24:56
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/6,https://api.github.com/repos/kubernetes/sig-release/issues/6,"Define and fill ""Marketing Manager release role""","This role was identified as a key missing element in the 1.7 Release retrospective.  We need to define the role, accountabilities, and activities ASAP as well as find someone to fill the role. ",closed,False,2017-07-20 19:38:40,2017-07-25 14:45:51
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/7,https://api.github.com/repos/kubernetes/sig-release/issues/7,Finalize 1.8 schedule,"There is an outstanding [PR](https://github.com/kubernetes/features/pull/305) to finalize the release timeline, to be discussed and merged Friday, July 21st at 21:00 UTC.  Outstanding question is how best to move the final version into this repository.",closed,False,2017-07-20 19:43:27,2017-07-24 16:01:52
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/8,https://api.github.com/repos/kubernetes/sig-release/issues/8,Move existing documentation from community/sig-release here,We need to ensure historical documentation is moved here for context and ease of use.  This process needs to be non-destructive since this change has not been radiated to the larger community.,closed,False,2017-07-20 19:45:06,2017-07-25 01:52:38
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/9,https://api.github.com/repos/kubernetes/sig-release/issues/9,Fill Test Infrastructure release role,Volunteer needed from Google to fill the Test Infrastructure role.,closed,False,2017-07-21 23:25:49,2017-07-21 23:26:12
sig-release,luxas,https://github.com/kubernetes/sig-release/issues/10,https://api.github.com/repos/kubernetes/sig-release/issues/10,Automate deb/rpm publishing,"This is an action item issue to make sure anago takes care of pushing debs/rpms in v1.8
Now it's a really painful process to have to ping various Googlers to push the packages manually

The proposed way of fixing this is by making a new GCS bucket that is set up as a deb/rpm repo.
It must maintain the structure of the current `apt.kubernetes.io` repo.

Then, in the release process, packages will be built and published by just pushing to GCS.

It's also a lot easier to manage ACLs with a GCS bucket compared to the Google-internal stuff we're currently depending on. (Where the source code/tools used are confidential)

For converting `.deb` packages to something pushable to GCS we can use https://github.com/spotify/debify
I don't know what's the best way to create a yum repo, but will look for something useful

cc @david-mcmahon @ixdy @jdumars @mikedanese @pipejakob @wojtek-t ",open,False,2017-07-24 12:51:18,2019-01-04 21:12:28
sig-release,calebamiles,https://github.com/kubernetes/sig-release/issues/11,https://api.github.com/repos/kubernetes/sig-release/issues/11,Extract docs from `kubernetes/community`,We should start collecting the documents sprinkled in `kubernetes/community` which should be maintained by SIG Release,closed,False,2017-07-24 18:42:26,2017-07-24 18:44:22
sig-release,jdumars,https://github.com/kubernetes/sig-release/issues/12,https://api.github.com/repos/kubernetes/sig-release/issues/12,Define and fill Release Notes Coordinator role,This role needs to be fully defined by SIG-Release.,closed,False,2017-07-25 18:02:50,2017-10-17 17:41:37
