name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/1,https://github.com/kubernetes/contrib/pull/1,mikedanese,copy over unreferenced contrib to new contrib repo,"When this goes in, it should be the opposite of kubernetes/kubernetes#12693
",[],1,2015-08-13 23:33:50,2015-08-13 23:34:35,2015-08-14 00:14:00,False,,,dirty,False,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/2,https://github.com/kubernetes/contrib/pull/2,mikedanese,copy over unreferenced contrib to new contrib repo,"When this goes in, it should be the opposite of kubernetes/kubernetes#12693
",['quinton-hoole-zz'],1,2015-08-13 23:35:15,2015-08-14 00:13:56,2015-08-14 00:14:00,True,2015-08-14 00:13:56,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/3,https://github.com/kubernetes/contrib/pull/3,mikedanese,create travis yml and enable travis ci build,"carry over the simple checks to begin with. make sure everything compiles and that tests pass.
",['quinton-hoole-zz'],1,2015-08-14 00:24:02,2015-08-14 18:30:34,2015-08-14 18:30:36,True,2015-08-14 18:30:34,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/4,https://github.com/kubernetes/contrib/pull/4,Arano-kai,Ansible: add to cert all master ip's (dirty fix),"Allow nodes to be connected to the non-default interface
",[],1,2015-08-14 17:07:16,2015-08-14 17:48:23,2015-08-14 20:10:23,True,2015-08-14 17:48:23,eparis,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/5,https://github.com/kubernetes/contrib/pull/5,mikedanese,Move submit-queue to contrib,,['brendandburns'],1,2015-08-14 20:30:40,2015-08-14 22:19:41,2015-08-14 22:19:43,True,2015-08-14 22:19:41,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/6,https://github.com/kubernetes/contrib/pull/6,mikedanese,remove extra godeps that snuck in somehow when we first moved the repo over,"I am godep inept :frowning: 
",[],1,2015-08-14 20:35:11,2015-08-14 22:30:18,2015-08-14 22:30:20,True,2015-08-14 22:30:18,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/7,https://github.com/kubernetes/contrib/pull/7,mikedanese,move service-loadbalancer to contrib,,[],1,2015-08-14 22:19:26,2015-08-14 22:22:31,2015-08-14 22:22:33,True,2015-08-14 22:22:31,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/8,https://github.com/kubernetes/contrib/pull/8,brendandburns,"Fix up the submit queue for the new repo, add docker image",,[],1,2015-08-14 23:55:40,2015-08-14 23:59:30,2015-08-14 23:59:30,True,2015-08-14 23:59:30,brendandburns,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/10,https://github.com/kubernetes/contrib/pull/10,BenTheElder,Add netperf tester tool,"Adds a tool for running netperf tests on a k8s cluster.
",[],1,2015-08-18 03:39:49,2015-08-18 22:06:29,2015-08-18 22:06:29,True,2015-08-18 22:06:29,brendandburns,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/11,https://github.com/kubernetes/contrib/pull/11,brendandburns,Add a pod YAML file for the submit-queue.,,['ixdy'],3,2015-08-18 22:10:06,2015-08-27 20:11:18,2015-08-27 20:11:18,True,2015-08-27 20:11:18,brendandburns,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/13,https://github.com/kubernetes/contrib/pull/13,jlebon,ansible: factor out kube_cert_ip,"This will help users more easily specify the IP addresses for which the
certificate should be valid. The make-ca-cert.sh script allows for many
""magic strings"" such as '_use_aws_external_ip_', which can automatically
query the metadata service to retrieve the public IP. This modification
makes changing that setting much easier (and less likely to change).
",[],1,2015-08-19 15:59:36,2015-08-19 17:34:35,2015-08-19 17:53:36,True,2015-08-19 17:34:35,eparis,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/15,https://github.com/kubernetes/contrib/pull/15,jlebon,Small iptables fixes,"The first patch ensures that we wait for the lock even when only listing iptables entries. Otherwise we may sometimes get a busy lock error.

The second patch removes an unnecessary iptables restart, which coincidentally resolves some issues it caused.
",['eparis'],2,2015-08-19 21:16:13,2015-08-30 14:51:53,2015-09-01 14:41:14,True,2015-08-30 14:51:53,eparis,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/16,https://github.com/kubernetes/contrib/pull/16,brendandburns,Add a github munger.,"Copied over from https://github.com/kubernetes/kubernetes/pull/12365
",[],1,2015-08-21 04:13:32,2015-08-21 18:16:05,2015-08-21 18:16:05,True,2015-08-21 18:16:05,mikedanese,unknown,,closed
contrib,https://api.github.com/repos/kubernetes/contrib/pulls/17,https://github.com/kubernetes/contrib/pull/17,Arano-kai,Ansible: fix etcd connection refuse,"Connection fail if fqdn not resolved
",['eparis'],2,2015-08-21 09:28:37,2015-11-25 19:02:55,2015-11-27 09:41:36,False,,,dirty,False,closed
