name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
k8s.io,thockin,https://github.com/kubernetes/k8s.io/pull/1,https://api.github.com/repos/kubernetes/k8s.io/issues/1,Add reviewable.k8s.io,"This is our configuration for running Reviewable on Kubernetes.
",closed,True,2016-08-22 23:04:08,2016-08-22 23:13:08
k8s.io,rmmh,https://github.com/kubernetes/k8s.io/pull/2,https://api.github.com/repos/kubernetes/k8s.io/issues/2,Add k8s.io Nginx configuration.,"README.md sketches one way to do testing. If we don't want to require a separate cluster for testing, the Makefile should be modified to use namespaces.
",closed,True,2016-08-22 23:47:30,2016-08-23 00:25:21
k8s.io,thockin,https://github.com/kubernetes/k8s.io/pull/3,https://api.github.com/repos/kubernetes/k8s.io/issues/3,Remove some over-precise leftovers,"Don't need namespace in every file - assume it is in the kubectl context.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/3)

<!-- Reviewable:end -->
",closed,True,2016-08-23 00:09:36,2016-08-23 00:31:14
k8s.io,thockin,https://github.com/kubernetes/k8s.io/pull/4,https://api.github.com/repos/kubernetes/k8s.io/issues/4,"Sync k8s.io files to current site, prep canary","This launches the k8s.io site in a canary namespace with a canary IP and can
run the test against it.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/4)

<!-- Reviewable:end -->
",closed,True,2016-08-23 04:28:48,2016-08-23 21:03:51
k8s.io,luxas,https://github.com/kubernetes/k8s.io/issues/5,https://api.github.com/repos/kubernetes/k8s.io/issues/5,Provide the easy-to-remember url addons.k8s.io for applying addons,"Given the work we're trying to do in @kubernetes/sig-cluster-lifecycle, and given that we've chosen to use `kubectl apply -f` as the main addon applier, it would be great to have a easy-to-remember url for applying addons, like this:

```
kubectl apply -f addon(s).k8s.io/network/flannel.yaml
kubectl apply -f addon(s).k8s.io/network/calico.yaml
kubectl apply -f addon(s).k8s.io/network/weave.yaml

kubectl apply -f addon(s).k8s.io/core/dns.yaml
kubectl apply -f addon(s).k8s.io/core/dashboard.yaml
kubectl apply -f addon(s).k8s.io/core/heapster.yaml
...
```

or just 

```
kubectl apply -f addon(s).k8s.io/flannel.yaml
kubectl apply -f addon(s).k8s.io/calico.yaml
kubectl apply -f addon(s).k8s.io/weave.yaml

kubectl apply -f addon(s).k8s.io/dns.yaml
kubectl apply -f addon(s).k8s.io/dashboard.yaml
kubectl apply -f addon(s).k8s.io/heapster.yaml
...
```

This would be very user-friendly, and we should document the possible addons installable this way at the main site.

The more exotic addons could (and should) be kept away from this way of installing the addons, only the most common should be here.

We could just have a redirection file in this repo that points to the source of truth somewhere in the main k8s repo or at other places.

@kubernetes/sig-cluster-lifecycle @thockin @pwittrock 
",closed,False,2016-08-23 20:02:02,2017-12-18 07:57:07
k8s.io,thockin,https://github.com/kubernetes/k8s.io/pull/6,https://api.github.com/repos/kubernetes/k8s.io/issues/6,Add an IP for the prod service LB,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/6)

<!-- Reviewable:end -->
",closed,True,2016-08-23 21:04:57,2016-08-23 21:17:42
k8s.io,rmmh,https://github.com/kubernetes/k8s.io/pull/7,https://api.github.com/repos/kubernetes/k8s.io/issues/7,Make ci-test.k8s.io/e2e/123 redirect to Gubernator.,"One potential problem: deploying a new configmap changes the files in the running containers, but doesn't restart them _or_ force nginx to reload. The deployment should run `nginx -s reload` on the running pods to trigger a config reload.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/7)

<!-- Reviewable:end -->
",closed,True,2016-08-23 21:39:43,2016-08-23 21:49:27
k8s.io,caesarxuchao,https://github.com/kubernetes/k8s.io/pull/8,https://api.github.com/repos/kubernetes/k8s.io/issues/8,Add client-go redirect,"@thockin @lavalamp @krousey 

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/8)

<!-- Reviewable:end -->
",closed,True,2016-08-25 21:21:22,2016-08-25 23:08:03
k8s.io,thockin,https://github.com/kubernetes/k8s.io/pull/9,https://api.github.com/repos/kubernetes/k8s.io/issues/9,bump reviewable to 1168.1901,"Need to find a way to canary this, but I already pushed it :)

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/9)

<!-- Reviewable:end -->
",closed,True,2016-08-26 23:12:57,2016-08-26 23:13:09
k8s.io,lavalamp,https://github.com/kubernetes/k8s.io/pull/10,https://api.github.com/repos/kubernetes/k8s.io/issues/10,add gengo,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/10)

<!-- Reviewable:end -->
",closed,True,2016-08-30 02:49:53,2016-08-30 06:25:12
