name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/1,https://github.com/kubernetes/apimachinery/pull/1,deads2k,add sync script,First attempt at a script to automatically sync this repo.  Will test it once I get a practice commit from https://github.com/kubernetes/kubernetes/pull/39747,[],1,2017-01-11 19:26:01,2017-01-11 20:50:15,2017-01-11 20:50:15,False,,,dirty,False,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/2,https://github.com/kubernetes/apimachinery/pull/2,deads2k,"Kube sync scripts, plus the output they produce","Here's an attempt at a basic kube sync script and the output it produces.  Alternatives welcome, but I'd rather not linger too long on it.

@sttts @lavalamp @smarterclayton ",[],4,2017-01-11 20:49:02,2017-01-11 21:51:36,2017-01-12 07:17:56,True,2017-01-11 21:51:36,lavalamp,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/3,https://github.com/kubernetes/apimachinery/pull/3,deads2k,Update the sync script,"I got an error when the script attempted to cherry-pick a merge commit. I'm not sure if I need to or not.

@sttts @smarterclayton ",[],3,2017-01-12 13:44:38,2017-01-13 21:24:34,2017-01-13 21:24:34,False,,,dirty,False,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/4,https://github.com/kubernetes/apimachinery/pull/4,fate-grand-order,handle err in  converter_test.go,,[],1,2017-01-17 06:31:37,2017-02-15 02:41:54,2017-02-15 02:41:54,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/7,https://github.com/kubernetes/apimachinery/pull/7,emosbaugh,YAMLDecoder.Read returns incorrect number of read bytes when doc fits within buffer,,['liggitt'],1,2017-02-28 01:47:16,2017-09-25 18:40:45,2017-09-25 18:40:45,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/8,https://github.com/kubernetes/apimachinery/pull/8,caesarxuchao,[Do not merge] [PoC] Changes generated by publish script,"Generated by https://github.com/kubernetes/test-infra/pull/2077

@sttts @deads2k @lavalamp 
",[],0,2017-03-01 07:59:11,2017-03-08 18:21:55,2017-03-08 18:21:55,False,,,dirty,False,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/9,https://github.com/kubernetes/apimachinery/pull/9,caesarxuchao,Changes generated by publish script,"In the first commit I manually removed the filter-branch-sha. I also rewrote kubernets-sha: it used to records the last commit of k8s.io/kubernetes when the sync script is called, now it records the last commit of k8s.io/kubernetes ***that affects staging/src/k8s.io/apimachinery*** when the sync script is called.

Ref:
https://github.com/kubernetes/client-go/pull/140 is the changes generated for client-go in the same run of the scripts.

cc @sttts ",[],11,2017-03-08 21:26:10,2017-03-18 19:43:35,2017-03-20 17:12:07,False,,,dirty,False,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/10,https://github.com/kubernetes/apimachinery/pull/10,caesarxuchao,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",[],16,2017-03-18 20:04:20,2017-03-20 20:08:53,2017-03-20 20:08:53,True,2017-03-20 20:08:53,deads2k,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/11,https://github.com/kubernetes/apimachinery/pull/11,caesarxuchao,Round 2: sync: resync vendor folder,"Last round of PRs failed to update vendor/. This one fixed it.

@deads2k @sttts 
PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",[],1,2017-03-20 22:26:45,2017-03-21 21:09:48,2017-03-21 21:09:48,True,2017-03-21 21:09:48,deads2k,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/12,https://github.com/kubernetes/apimachinery/pull/12,piosz,Remove fluentd-ds-ready label,https://github.com/kubernetes/kubernetes/issues/42840,[],1,2017-03-23 10:53:26,2017-03-27 08:18:07,2017-03-27 08:18:10,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/14,https://github.com/kubernetes/apimachinery/pull/14,jamiehannaford,Use dedicated Unix types for user and group,"This PR alters some validation functions to use the dedicated types for Unix Group/User IDs. 

Relates to https://github.com/kubernetes/kubernetes/issues/38120 and https://github.com/kubernetes/kubernetes/pull/44714. API change has been approved in former thread.",[],1,2017-04-26 09:46:04,2017-04-26 09:56:18,2017-04-26 09:56:18,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/15,https://github.com/kubernetes/apimachinery/pull/15,magnushiie,Fix IntOrStr JSON Schema type,Sum types can be expressed in JSON schema either via the type array or with the anyOf construct. This change chooses the former to give the type the correct schema.,[],1,2017-06-26 14:26:45,2017-06-27 15:18:20,2017-06-27 15:18:20,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/20,https://github.com/kubernetes/apimachinery/pull/20,mbssaiakhil,Fix Typo in apimachinery README,,['nikhita'],1,2017-08-13 11:21:58,2017-12-19 14:01:05,2017-12-19 14:01:05,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/25,https://github.com/kubernetes/apimachinery/pull/25,alrs,Fix strategicpatch swallowed errors,There are four dropped error variables in the strategicpatch package.,[],2,2017-09-25 00:53:47,2017-09-25 18:47:21,2017-09-25 18:47:21,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/26,https://github.com/kubernetes/apimachinery/pull/26,onorua,Add loopback to bind IPs,"Currently in case IP set to localhost, it will be rediscovered from available interfaces. This blocks use-cases like localhost proxy on client side, as described in https://github.com/kubernetes/kubeadm/issues/487 
Let me know if you prefer an additional method instead of changing this one, or you have any concerns about using localhost as a bind interface (even for local testing). ",['nikhita'],1,2017-10-09 05:42:46,2017-12-20 07:05:24,2017-12-20 07:05:24,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/27,https://github.com/kubernetes/apimachinery/pull/27,caoruidong,Update README.md,fix a typo,['nikhita'],1,2017-10-10 08:55:43,2017-12-19 14:00:47,2018-01-26 11:05:12,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/28,https://github.com/kubernetes/apimachinery/pull/28,nikhita,Remove README and LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

/cc @sttts ",[],1,2017-10-23 11:52:50,2017-10-25 19:24:25,2017-12-18 12:22:03,True,2017-10-25 19:24:25,deads2k,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/32,https://github.com/kubernetes/apimachinery/pull/32,andreis,More README typos (also see #27),,['nikhita'],1,2017-12-10 13:52:36,2017-12-19 14:00:28,2017-12-19 17:02:37,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/33,https://github.com/kubernetes/apimachinery/pull/33,spiffxp,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",[],1,2017-12-20 18:31:22,2017-12-20 20:27:42,2017-12-22 15:32:41,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/35,https://github.com/kubernetes/apimachinery/pull/35,sttts,Remove outdated and unused hack files,Part of https://github.com/kubernetes/kubernetes/issues/57559.,['spiffxp'],1,2017-12-22 21:53:57,2017-12-22 22:21:02,2017-12-22 22:21:08,True,2017-12-22 22:21:02,k8s-publishing-bot,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/61,https://github.com/kubernetes/apimachinery/pull/61,joelsmith,Update embargo doc link in SECURITY_CONTACTS and change PST to PSC,See https://github.com/kubernetes/security/issues/8 for more information,"['ncdc', 'cheftako']",1,2019-03-08 17:52:02,2019-03-09 01:18:18,2019-03-09 01:18:18,False,,,unknown,,closed
apimachinery,https://api.github.com/repos/kubernetes/apimachinery/pulls/62,https://github.com/kubernetes/apimachinery/pull/62,tralexa,"fix panic when name is ""-""","Sorry, we do not accept changes directly against this repository. Please see
CONTRIBUTING.md for information on where and how to contribute instead.
",[],1,2019-03-25 11:23:10,,2019-03-25 11:23:38,False,,,blocked,True,open
